game_id,game_date,team_id,team_name,opponent_id,opponent_name,home_away,actual_margin,current_city,previous_city,games_last_7,games_last_14,density_score,days_since_last_game,travel_miles,travel_load,recovery_offset,fatigue_index,fatigue_tier
22500001,2025-10-21,1610612760,Oklahoma City Thunder,1610612745,Houston Rockets,H,1,Thunder,,0,0,10.0,5,,1,0.5,7.0,Low
22500001,2025-10-21,1610612745,Houston Rockets,1610612760,Oklahoma City Thunder,A,-1,Thunder,,0,0,10.0,5,,1,0.5,7.0,Low
22500002,2025-10-21,1610612747,Los Angeles Lakers,1610612744,Golden State Warriors,H,-10,Lakers,,0,0,10.0,5,,1,0.5,7.0,Low
22500002,2025-10-21,1610612744,Golden State Warriors,1610612747,Los Angeles Lakers,A,10,Lakers,,0,0,10.0,5,,1,0.5,7.0,Low
22500003,2025-10-22,1610612739,Cleveland Cavaliers,1610612752,New York Knicks,A,-8,Knicks,,0,0,10.0,5,,1,0.5,7.0,Low
22500003,2025-10-22,1610612752,New York Knicks,1610612739,Cleveland Cavaliers,H,8,Knicks,,0,0,10.0,5,,1,0.5,7.0,Low
22500004,2025-10-22,1610612759,San Antonio Spurs,1610612742,Dallas Mavericks,A,33,Mavericks,,0,0,10.0,5,,1,0.5,7.0,Low
22500004,2025-10-22,1610612742,Dallas Mavericks,1610612759,San Antonio Spurs,H,-33,Mavericks,,0,0,10.0,5,,1,0.5,7.0,Low
22500080,2025-10-22,1610612751,Brooklyn Nets,1610612766,Charlotte Hornets,A,-19,Hornets,,0,0,10.0,5,,1,0.5,7.0,Low
22500080,2025-10-22,1610612766,Charlotte Hornets,1610612751,Brooklyn Nets,H,19,Hornets,,0,0,10.0,5,,1,0.5,7.0,Low
22500081,2025-10-22,1610612748,Miami Heat,1610612753,Orlando Magic,A,-4,Magic,,0,0,10.0,5,,1,0.5,7.0,Low
22500081,2025-10-22,1610612753,Orlando Magic,1610612748,Miami Heat,H,4,Magic,,0,0,10.0,5,,1,0.5,7.0,Low
22500082,2025-10-22,1610612737,Atlanta Hawks,1610612761,Toronto Raptors,H,-20,Hawks,,0,0,10.0,5,,1,0.5,7.0,Low
22500082,2025-10-22,1610612761,Toronto Raptors,1610612737,Atlanta Hawks,A,20,Hawks,,0,0,10.0,5,,1,0.5,7.0,Low
22500083,2025-10-22,1610612738,Boston Celtics,1610612755,Philadelphia 76ers,H,-1,Celtics,,0,0,10.0,5,,1,0.5,7.0,Low
